Specjalista ds. procesu analizy danych,PwC Service Delivery Center,2019-01-28,2019-02-08," Oczekiwany profil kandydata Znajomoœæ jêzyka angielskiego, co najmniej na poziomie B1, Minimum dobra znajomoœæ programu MS Excel, Doœwiadczenie w zakresie analizy danych, Wykszta³cenie wy¿sze, Umiejêtnoœæ analitycznego myœlenia oraz dok³adnoœæ,..."
Data Migration Analyst,Sapiens Software Solutions Poland,2019-01-28,2019-02-09, What’s the role all about? We are looking for Data Migration Analyst to join our Property & Casualty division and support our international projects conducted for global clients from insurance sector. Daily work includes: Define migration...
Digital Advisor - BI/Data Analytics,Predica Sp. z o.o.,2019-01-27,2019-02-06, JOB RESPONSIBILITIES Business development: Responsible for building and keeping relationships with current and new Customers and their Business Decision Makers / Influencers. Getting new Customers and leading digital transformation. Exclusive...
Industry 4.0 Engineer – Data Scientist,ArcelorMittal Poland S.A.,2019-01-27,2019-02-13," Responsibilities: Develop new Industry 4.0 solutions, explore new ideas and technologies Continuously look for, initiate and drive innovations, and give substantial inputs for design and optimization of the process in the field of industry 4.0..."
Projektant BI (QlikView / Qlik Sense),Hogart Business Intelligence,2019-01-26,2019-02-06, Interesuje Ciê analiza danych? Lubisz poznawaæ ukryte w danych informacje? Chcesz projektowaæ unikalne aplikacje analityczne i raporty w najnowoczeœniejszych narzêdziach BI? Jesteœ gotowy na nowe wyzwania i pracê przy ciekawych projektach dla...
M³odszy Specjalista ds. Weryfikacji Danych,HireRight Poland Sp. z o.o.,2019-01-26,2019-02-21," Twoje zadania Bêdziesz zatrudniony/-a na stanowisku M³odszy Specjalista ds. Weryfikacji Danych. Przez pierwsze 3 miesi¹ce Twojej pracy, bêdziesz uczêszcza³/-a na intensywny kurs jêzyka angielskiego oraz bêdziesz mieæ dostêp do platformy..."
Specjalista ds. Zarz¹dzania Danymi,ING Bank Œl¹ski S.A.,2019-01-26,2019-02-06, Forma zatrudnienia: umowa na zastêpstwo Twoje zadania: Wspieranie u¿ytkowników aplikacji Business Intelligence Biznesowa administracja aplikacji Business Intelligence Udzia³ w procesie monitoringu procesów ³adowania danych do hurtowni Udzia³ w...
Researcher,HireRight Poland Sp. z o.o.,2019-01-25,2019-02-06," About Us HireRight is the world’s first truly global background screening company, allowing employers to quickly and confidently screen their full candidate pool and mitigate the risk that comes with bringing on new talent. Headquartered in..."
Junior IT Business Analyst,Grafton Recruitment,2019-01-25,2019-02-08,"Dla naszego Klienta, SSC miêdzynarodowej firmy z bran¿y produkcyjnej, w zwi¹zku z rozwojem organizacji, poszukujemy kandydatów na stanowisko: M³odszy analityk biznesowy ze znajomoœci¹ j. angielskiego Do obowi¹zków osoby na tym stanowisku nale¿eæ..."
M³odszy Specjalista ds. Danych z jêzykiem niemieckim,TUV Rheinland Group,2019-01-25,2019-02-24," JAKICH ZADAÑ MO¯ESZ OCZEKIWAÆ? Tworzenie i modyfikacja danych w systemie SAP na podstawie zleceñ TÜV Rheinland Group Aktualizacja danych podstawowych dotycz¹cych partnerów biznesowych (klient, dostawca, osoba kontaktowa) Wspó³praca z innymi..."
Human Resources - Business Data Analyst - Remote Work,HireRight Poland Sp. z o.o.,2019-01-25,2019-02-16, Your Role Your role of a HR Business Data Analyst is to analyze day-to-day information needs for various human resources functions. Generate standard reports from a human resource information system (HRIS) perspective. Maintain the integrity of...
Specjalista edycji danych,ZKTech Zbigniew Krzemieñ,2019-01-25,2019-02-24," Do obowi¹zków zatrudnionej osoby bêdzie nale¿a³o: Zapoznanie siê z dokumentacj¹, jej analiza i weryfikacja merytoryczna Wprowadzanie i aktualizacja danych opisowych i wektorowych do systemu Tworzenie i aktualizacja schematów urz¹dzeñ w oparciu o..."
M³odszy Specjalista ds. Analizy Danych,EPAM Systems (Poland) sp. z o.o.,2019-01-25,2019-02-20," Do Twoich obowi¹zków nale¿eæ bêdzie: analiza i wizualizacja danych z wykorzystaniem odpowiednich narzêdzi (np. SQL lub PowerBI), tworzenie raportów, monitorowanie jakoœci danych w dziennych, tygodniowych lub promocyjnych cyklach planistycznych,..."
Pracownik analizy i ewidencji danych,THESAR-PRO Sp. z o.o.,2019-01-25,2019-02-24," Opis stanowiska: sporz¹dzenie analiz i raportów wynikaj¹cych z realizacji zadañ administracja dokumentacj¹ w projekcie (obs³uga dokumentacji, weryfikacjê dokumentacji, harmonogramowanie, przep³yw informacji) realizacja zadañ zwi¹zanych z odbiorem..."
Freelance Media Analyst – English and Spanish,NGE Research,2019-01-24,2019-02-10," Freelance Media Analyst (work from home) The purpose of the role is to carry out analysis of English and Spanish press articles and social media coverage. We also process content in other languages, and therefore speaking other foreign languages..."
Freelance Media Analyst – English and Dutch,NGE Research,2019-01-24,2019-02-10," Freelance Media Analyst (work from home) The purpose of the role is to carry out analysis of English and Dutch press articles and social media coverage. We also process content in other languages, and therefore speaking other foreign languages..."
Freelance Media Analyst – English and French,NGE Research,2019-01-24,2019-02-10," Freelance Media Analyst (work from home) The purpose of the role is to carry out analysis of English and French press articles and social media coverage. We also process content in other languages, and therefore speaking other foreign languages..."
Freelance Media Analyst – English and Mandarin,NGE Research,2019-01-24,2019-02-10," Freelance Media Analyst (work from home) The purpose of the role is to carry out analysis of English and Mandarin press articles and social media coverage. We also process content in other languages, and therefore speaking other foreign languages..."
M³odszy Analityk,APOSTO£OWIE OPINII sp. z o.o.,2019-01-24,2019-02-08," Mamy dla Ciebie pracê, która polega na: przetwarzaniu i analizie du¿ych zbiorów danych tworzeniu raportów, analiz i statystyk pobieranie, przetwarzanie i integracja danych na potrzeby klientów wewnêtrznych identyfikacja problemów zwi¹zanych z..."
Data Scientist,3Soft S.A.,2019-01-24,2019-02-10," Osoby zatrudnione na tym stanowisku zajmuj¹ siê miêdzy innymi: programowaniem w jêzyku R w nawi¹zaniu do potrzeb statystycznych i matematycznych, tworzeniem architektury i automatyzacj¹ skryptów R, stosowaniem pakietu R Shiny do budowy webowych..."
Specjalista ds. obs³ugi jednostek samorz¹du terytorialnego,EMPIRIA DUO SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥ SPÓ£KA KOMANDYTOWA,2019-01-23,2019-02-22," Zakres Obowi¹zków: opracowanie, analiza i aktualizacja dokumentów jednostek samorz¹dowych pod k¹tem zmian w przepisach prawa przygotowanie dokumentacji po audytowej bie¿¹ce konsultacje i doradztwo klientom firmy ..."
Specjalista ds. Analizy Danych,DROMA S.C.,2019-01-23,2019-02-13, Najwa¿niejsze obowi¹zki: Administrowanie firmow¹ baz¹ danych ISP; Analiza danych w oparciu o przekazywane informacje od u¿ytkowników z zakresu funkcjonowania systemu ISP; Analiza danych w oparciu o u¿ytkowane systemy informatyczne; Wdra¿anie...
Inspektor ds. Operacyjnych,LeasingTeam Group,2019-01-20,2019-02-09," Zakres obowi¹zków: Udzia³ w przygotowaniu materia³ów na spotkania (prezentacje, raporty, statystyki liczbowe) Przygotowanie i uzgadnianie harmonogramów dla realizowanej inicjatywy; Wspó³praca z dostawcami zewnêtrznymi i innymi jednostkami banku;..."
M³odszy Specjalista ds. Analiz,Zdrowit Spó³ka Cywilna,2019-01-16,2019-01-31, Do zadañ osoby na tym stanowisku nale¿eæ bêdzie: Sporz¹dzanie raportów oraz dba³oœæ o poprawnoœæ danych Tworzenie analiz wspieraj¹cych podejmowanie decyzji biznesowych Tworzenie nowych narzêdzi u³atwiaj¹cych codzienn¹ pracê zespo³u oraz dzia³ów...
